LINHA DO CSV ORIGINAL;ID NA PLANILHA;CAMPO;VALOR ORIGINAL;VALOR CORRIGIDO
149;TT-00142;PROGRAMAÇÃO;RECEB CACAU;RECEBIMENTO
150;TT-00143;TRANSPORTADORA;PROPRIO;PRÓPRIO
151;TT-00144;PROGRAMAÇÃO;TRANSF MACEIO;TRANSFERÊNCIA
151;TT-00144;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
152;TT-00145;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
154;TT-00147;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
155;TT-00148;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
156;TT-00149;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
157;TT-00150;PROGRAMAÇÃO;CACAU BR15;CACAU
163;TT-00156;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
167;TT-00160;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
168;TT-00161;TRANSPORTADORA;PROPRIO;PRÓPRIO
170;TT-00163;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
172;TT-00165;TRANSPORTADORA;PROPRIO;PRÓPRIO
174;TT-00167;TRANSPORTADORA;PROPRIO;PRÓPRIO
176;TT-00169;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
179;TT-00172;MEDIDA;;TON
181;TT-00174;TRANSPORTADORA;PROPRIO;PRÓPRIO
182;TT-00175;DATA;28/07/26;28/07/2026
185;TT-00178;TRANSPORTADORA;PROPRIO;PRÓPRIO
187;TT-00180;TRANSPORTADORA;PROPRIO;PRÓPRIO
189;TT-00182;PROGRAMAÇÃO;SEP BR 15;BR15
190;TT-00183;TRANSPORTADORA;PROPRIO;PRÓPRIO
191;TT-00184;TRANSPORTADORA;PROPRIO;PRÓPRIO
193;TT-00186;TRANSPORTADORA;PROPRIO;PRÓPRIO
197;TT-00190;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
198;TT-00191;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
199;TT-00192;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
202;TT-00195;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
206;TT-00199;MEDIDA;;TON
206;TT-00199;TRANSPORTADORA;PROPRIO;PRÓPRIO
207;TT-00200;TRANSPORTADORA;PROPRIO;PRÓPRIO
208;TT-00201;TRANSPORTADORA;PROPRIO;PRÓPRIO
209;TT-00202;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
211;TT-00204;TRANSPORTADORA;PROPRIO;PRÓPRIO
212;TT-00205;TRANSPORTADORA;PROPRIO;PRÓPRIO
214;TT-00207;TRANSPORTADORA;PROPRIO;PRÓPRIO
215;TT-00208;TRANSPORTADORA;PROPRIO;PRÓPRIO
217;TT-00210;PROGRAMAÇÃO;CACAU BR15;CACAU
218;TT-00211;PROGRAMAÇÃO;RETORNO D2;RECEBIMENTO
219;TT-00212;TRANSPORTADORA;PROPRIO;PRÓPRIO
221;TT-00214;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
223;TT-00216;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
224;TT-00217;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
225;TT-00218;TRANSPORTADORA;PROPRIO;PRÓPRIO
226;TT-00219;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
227;TT-00220;PROGRAMAÇÃO;TRANSFERENCIA;TRANSFERÊNCIA
227;TT-00220;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
228;TT-00221;PROGRAMAÇÃO;CROSS LOGGIO;CROSS DOCKING
228;TT-00221;TRANSPORTADORA;LOGUIO;LOGGIO
229;TT-00222;PROGRAMAÇÃO;SMARTLOG;GM
232;TT-00225;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
233;TT-00226;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
234;TT-00227;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
235;TT-00228;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
236;TT-00229;TRANSPORTADORA;PROPRIO;PRÓPRIO
237;TT-00230;TRANSPORTADORA;PROPRIO;PRÓPRIO
238;TT-00231;PROGRAMAÇÃO;RECEB CACAU;RECEBIMENTO
240;TT-00233;TRANSPORTADORA;PROPRIO;PRÓPRIO
242;TT-00235;TRANSPORTADORA;PROPRIO;PRÓPRIO
243;TT-00236;TRANSPORTADORA;PROPRIO;PRÓPRIO
244;TT-00237;TRANSPORTADORA;PROPRIO;PRÓPRIO
245;TT-00238;TRANSPORTADORA;PROPRIO;PRÓPRIO
246;TT-00239;TRANSPORTADORA;PROPRIO;PRÓPRIO
247;TT-00240;TRANSPORTADORA;PROPRIO;PRÓPRIO
248;TT-00241;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
249;TT-00242;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
250;TT-00243;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
253;TT-00246;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
254;TT-00247;TRANSPORTADORA;PROPRIO;PRÓPRIO
255;TT-00248;TRANSPORTADORA;PROPRIO;PRÓPRIO
256;TT-00249;TRANSPORTADORA;PROPRIO;PRÓPRIO
257;TT-00250;TRANSPORTADORA;PROPRIO;PRÓPRIO
261;TT-00254;PROGRAMAÇÃO;REC CACAU;RECEBIMENTO
262;TT-00255;DATA;08/01/2026;01/08/2026
263;TT-00256;DATA;08/01/2026;01/08/2026
265;TT-00258;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
266;TT-00259;PROGRAMAÇÃO;REC CACAU;RECEBIMENTO
267;TT-00260;PROGRAMAÇÃO;CACAU BR15;CACAU
268;TT-00261;PROGRAMAÇÃO;REC CACAU;RECEBIMENTO
269;TT-00262;DATA;08/05/2026;05/08/2026
269;TT-00262;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
270;TT-00263;DATA;08/05/2026;05/08/2026
273;TT-00266;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
274;TT-00267;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
275;TT-00268;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
276;TT-00269;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
277;TT-00270;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
278;TT-00271;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
279;TT-00272;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
280;TT-00273;PROGRAMAÇÃO;SEP CACAU;CACAU
281;;LINHA;"06/08/2026;A;TATIANE";descartada (sem conteúdo)
282;TT-00274;DATA;08/06/2026;06/08/2026
283;TT-00275;DATA;08/06/2026;06/08/2026
283;TT-00275;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
284;TT-00276;DATA;08/06/2026;06/08/2026
284;TT-00276;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
285;TT-00277;DATA;08/06/2026;06/08/2026
286;TT-00278;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
287;TT-00279;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
288;TT-00280;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
289;TT-00281;PROGRAMAÇÃO;SEP CACAU;CACAU
292;TT-00284;TRANSPORTADORA;PROPRIO;PRÓPRIO
293;TT-00285;TRANSPORTADORA;PROPRIO;PRÓPRIO
294;TT-00286;PROGRAMAÇÃO;SMT;GM
295;TT-00287;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
298;TT-00290;PROGRAMAÇÃO;FLOOR / PK1;FLOOR
298;TT-00290;MEDIDA;;PALETE
301;TT-00293;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
307;TT-00299;PROGRAMAÇÃO;SEP CACAU;CACAU
309;TT-00301;PROGRAMAÇÃO;SEP CACAU;CACAU
310;TT-00302;PROGRAMAÇÃO;SEP CACAU;CACAU
312;TT-00304;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
313;TT-00305;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
315;TT-00307;PROGRAMAÇÃO;FLOOR / PK1;FLOOR
320;TT-00312;PROGRAMAÇÃO;;CACAU
327;TT-00319;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
328;TT-00320;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
330;TT-00322;TRANSPORTADORA;PROPRIO;PRÓPRIO
333;TT-00325;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
334;TT-00326;TRANSPORTADORA;PROPRIO;PRÓPRIO
336;TT-00328;PROGRAMAÇÃO;AGENDA ;GM
338;TT-00330;TRANSPORTADORA;PROPRIO;PRÓPRIO
339;TT-00331;TRANSPORTADORA;PROPRIO;PRÓPRIO
341;TT-00333;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
342;TT-00334;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
344;TT-00336;TRANSPORTADORA;PROPRIO;PRÓPRIO
348;TT-00340;PROGRAMAÇÃO;FLOOR / PK1;FLOOR
348;TT-00340;MEDIDA;;PALETE
350;TT-00342;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
351;TT-00343;PROGRAMAÇÃO;SP CAP/INT;GM
354;TT-00346;PROGRAMAÇÃO;FLOOR / PK1;FLOOR
355;TT-00347;PROGRAMAÇÃO;SEP CACAU;CACAU
357;TT-00349;PROGRAMAÇÃO;SP CAP/INT;GM
366;;LINHA;"13/08/2026;B;THIAGO";descartada (sem conteúdo)
370;TT-00361;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
371;TT-00362;TRANSPORTADORA;PROPRIO;PRÓPRIO
375;TT-00366;PROGRAMAÇÃO;SP CAP/INT;GM
376;TT-00367;PROGRAMAÇÃO;MACEIO;RECEBIMENTO
376;TT-00367;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
378;TT-00369;MEDIDA;;TON
389;TT-00380;TRANSPORTADORA;PROPRIO;PRÓPRIO
390;TT-00381;TRANSPORTADORA;PROPRIO;PRÓPRIO
393;TT-00384;TRANSPORTADORA;PROPRIO;PRÓPRIO
396;TT-00387;PROGRAMAÇÃO;PRODUÇÃO;MOVIMENTAÇÃO
397;TT-00388;TRANSPORTADORA;PROPRIO;PRÓPRIO
398;TT-00389;TRANSPORTADORA;PROPRIO;PRÓPRIO
411;TT-00402;TRANSPORTADORA;PROPRIO;PRÓPRIO
412;TT-00403;TRANSPORTADORA;PROPRIO;PRÓPRIO
420;TT-00411;PROGRAMAÇÃO;FLOOR / CACAU;FLOOR
421;TT-00412;PROGRAMAÇÃO;SP;GM
421;TT-00412;TRANSPORTADORA;LOGUIO;LOGGIO
424;TT-00415;TRANSPORTADORA;PROPRIO;PRÓPRIO
430;TT-00421;PROGRAMAÇÃO;FLOOR / CACAU;FLOOR
434;TT-00425;PROGRAMAÇÃO;FLOOR / CACAU;FLOOR
438;TT-00429;TRANSPORTADORA;PROPRIO;PRÓPRIO
441;TT-00432;TRANSPORTADORA;LOGUIO;LOGGIO
445;TT-00436;PROGRAMAÇÃO;TRANSFERENCIA;TRANSFERÊNCIA
450;TT-00440;PROGRAMAÇÃO;TRANSFERENCIA;TRANSFERÊNCIA
452;TT-00442;TRANSPORTADORA;PROPRIO;PRÓPRIO
460;TT-00450;TRANSPORTADORA;SMART;SMARTLOG
462;TT-00452;TRANSPORTADORA;SPEEDY;SPEEDYLOG
463;TT-00453;TRANSPORTADORA;SPEEDY;SPEEDYLOG
473;TT-00463;TRANSPORTADORA;OMX;OMEGA X
474;TT-00464;PROGRAMAÇÃO;SP;GM
474;TT-00464;TRANSPORTADORA;SMART;SMARTLOG
477;TT-00467;TRANSPORTADORA;OMX;OMEGA X
486;TT-00476;PROGRAMAÇÃO;FLOOR / CACAU;FLOOR
487;TT-00477;PROGRAMAÇÃO;CROSS RJ;CROSS DOCKING
490;TT-00480;PROGRAMAÇÃO;RECEBIMENTO CACAU;RECEBIMENTO
499;TT-00489;NÚMERO;;número '9.012.686' interpretado como 9012,686
499;TT-00489;NÚMERO;;número '9.012.686' interpretado como 9012,686
499;TT-00489;NÚMERO;;número '9.012.686' interpretado como 9012,686
529;TT-00519;TRANSPORTADORA;SPEEDY;SPEEDYLOG
531;TT-00521;PROGRAMAÇÃO;SP;GM
531;TT-00521;TRANSPORTADORA;SMART;SMARTLOG
532;TT-00522;PROGRAMAÇÃO;SP;GM
532;TT-00522;TRANSPORTADORA;SMART;SMARTLOG
533;TT-00523;TRANSPORTADORA;SMART;SMARTLOG
535;TT-00525;TRANSPORTADORA;SPEEDY;SPEEDYLOG
546;;LINHA;"25/08/2026;B;THIAGO";descartada (sem conteúdo)
547;TT-00536;TRANSPORTADORA;SMART;SMARTLOG
548;TT-00537;TRANSPORTADORA;SMART;SMARTLOG
549;TT-00538;TRANSPORTADORA;SPEEDY;SPEEDYLOG
550;TT-00539;PROGRAMAÇÃO;SP;GM
551;TT-00540;PROGRAMAÇÃO;SP;GM
562;TT-00551;TRANSPORTADORA;SPEEDY;SPEEDYLOG
563;TT-00552;TRANSPORTADORA;SPEEDY;SPEEDYLOG
564;TT-00553;TRANSPORTADORA;SPEEDY;SPEEDYLOG
565;TT-00554;TRANSPORTADORA;PROPRIO;PRÓPRIO
568;TT-00557;TRANSPORTADORA;PROPRIO;PRÓPRIO
569;TT-00558;TRANSPORTADORA;PROPRIO;PRÓPRIO
610;TT-00599;TRANSPORTADORA;SPEEDY;SPEEDYLOG
611;TT-00600;TRANSPORTADORA;SPEEDY;SPEEDYLOG
613;TT-00602;TRANSPORTADORA;SMART;SMARTLOG
616;TT-00605;PROGRAMAÇÃO;SEPARAÇÃO CACAU;CACAU
617;TT-00606;PROGRAMAÇÃO;SEP TRANSF CACAU;CACAU
619;TT-00608;TRANSPORTADORA;SPEEDY;SPEEDYLOG
626;TT-00615;PROGRAMAÇÃO;SEPARAÇÃO CACAU;CACAU
626;TT-00615;TRANSPORTADORA;SMART;SMARTLOG
627;TT-00616;PROGRAMAÇÃO;SEPARAÇÃO CACAU;CACAU
627;TT-00616;TRANSPORTADORA;SMART;SMARTLOG
632;TT-00621;TRANSPORTADORA;SPEEDY;SPEEDYLOG
633;TT-00622;TRANSPORTADORA;SPEEDY;SPEEDYLOG
634;TT-00623;TRANSPORTADORA;SPEEDY;SPEEDYLOG
635;TT-00624;TRANSPORTADORA;SPEEDY;SPEEDYLOG
636;TT-00625;TRANSPORTADORA;SPEEDY;SPEEDYLOG
637;TT-00626;TRANSPORTADORA;SPEEDY;SPEEDYLOG
638;TT-00627;TRANSPORTADORA;SPEEDY;SPEEDYLOG
639;TT-00628;TRANSPORTADORA;SPEEDY;SPEEDYLOG
650;TT-00639;TRANSPORTADORA;PROPRIO;PRÓPRIO
652;TT-00641;TRANSPORTADORA;PROPRIO;PRÓPRIO
653;TT-00642;TRANSPORTADORA;PROPRIO;PRÓPRIO
656;TT-00645;TRANSPORTADORA;SPEEDY;SPEEDYLOG
658;TT-00647;TRANSPORTADORA;SPEEDY;SPEEDYLOG
659;TT-00648;TRANSPORTADORA;SPEEDY;SPEEDYLOG
667;TT-00656;TRANSPORTADORA;SPEEDY;SPEEDYLOG
669;TT-00658;DATA;09/07/2026;07/09/2026
669;TT-00658;TRANSPORTADORA;SPEEDY;SPEEDYLOG
670;TT-00659;DATA;09/07/2026;07/09/2026
671;TT-00660;DATA;09/07/2026;07/09/2026
671;TT-00660;TRANSPORTADORA;SPEEDY;SPEEDYLOG
672;TT-00661;DATA;09/07/2026;07/09/2026
673;TT-00662;DATA;09/07/2026;07/09/2026
674;TT-00663;DATA;09/07/2026;07/09/2026
680;TT-00669;DATA;09/08/2026;08/09/2026
680;TT-00669;TURNO;d;D
681;TT-00670;DATA;09/08/2026;08/09/2026
681;TT-00670;TURNO;d;D
682;TT-00671;DATA;09/08/2026;08/09/2026
682;TT-00671;TURNO;d;D
685;TT-00674;TRANSPORTADORA;PROPRIO;PRÓPRIO
689;TT-00678;TRANSPORTADORA;SMART;SMARTLOG
693;TT-00682;TRANSPORTADORA;SPEEDY;SPEEDYLOG
696;TT-00685;PROGRAMAÇÃO;AGENDA SP;GM
696;TT-00685;TRANSPORTADORA;SMART;SMARTLOG
697;TT-00686;TRANSPORTADORA;SMART;SMARTLOG
698;TT-00687;TRANSPORTADORA;PROPRIO;PRÓPRIO
710;TT-00699;TRANSPORTADORA;SMART;SMARTLOG
713;TT-00702;TRANSPORTADORA;SPEEDY;SPEEDYLOG
714;TT-00703;TRANSPORTADORA;SMART;SMARTLOG
717;TT-00706;PROGRAMAÇÃO;floor  / cacau;FLOOR
721;TT-00710;TRANSPORTADORA;SMARLOG;SMARTLOG
723;TT-00712;TRANSPORTADORA;SMARLOG;SMARTLOG
743;TT-00732;TRANSPORTADORA;OMEGAX;OMEGA X
762;TT-00751;PROGRAMAÇÃO;importação;RECEBIMENTO
790;TT-00779;PROGRAMAÇÃO;TRANSF OMEGA X;TRANSFERÊNCIA
800;TT-00789;PROGRAMAÇÃO;FLOOR/ CACAU;FLOOR
801;TT-00790;PROGRAMAÇÃO;SUL;GM
805;TT-00794;PROGRAMAÇÃO;;CACAU
809;TT-00798;PROGRAMAÇÃO;FLOOR/ CACAU;FLOOR
815;TT-00804;TRANSPORTADORA;SPEEDY;SPEEDYLOG
823;TT-00812;TRANSPORTADORA;SMART LOG;SMARTLOG
825;TT-00814;TRANSPORTADORA;SPEEDY;SPEEDYLOG
826;TT-00815;PROGRAMAÇÃO;TRANSFERENCIA;TRANSFERÊNCIA
827;TT-00816;TRANSPORTADORA;SPEEDY;SPEEDYLOG
828;TT-00817;TRANSPORTADORA;SPEEDY;SPEEDYLOG
830;TT-00819;TRANSPORTADORA;SMART LOG;SMARTLOG
831;TT-00820;TRANSPORTADORA;SMART LOG;SMARTLOG
832;TT-00821;TRANSPORTADORA;SMART LOG;SMARTLOG
838;;LINHA;"22/09/2026;B;THIAGO";descartada (sem conteúdo)
839;;LINHA;"22/09/2026;B;THIAGO";descartada (sem conteúdo)
840;;LINHA;"22/09/2026;B;THIAGO";descartada (sem conteúdo)
841;;LINHA;"22/09/2026;B;THIAGO";descartada (sem conteúdo)
842;;LINHA;"22/09/2026;B;THIAGO";descartada (sem conteúdo)
843;;LINHA;"22/09/2026;B;THIAGO";descartada (sem conteúdo)
844;;LINHA;"22/09/2026;B;THIAGO";descartada (sem conteúdo)
